Symbol,Sector
RELIANCE,Energy
TCS,Technology
HDFCBANK,Financial Services
ICICIBANK,Financial Services
HINDUNILVR,Consumer Defensive
INFY,Technology
HDFC,
ITC,Consumer Defensive
SBIN,Financial Services
BHARTIARTL,Communication Services
KOTAKBANK,Financial Services
BAJFINANCE,Financial Services
LICI,Financial Services
LT,Industrials
HCLTECH,Technology
ASIANPAINT,Basic Materials
AXISBANK,Financial Services
MARUTI,Consumer Cyclical
SUNPHARMA,Healthcare
TITAN,Consumer Cyclical
DMART,Consumer Defensive
ULTRACEMCO,Basic Materials
BAJAJFINSV,Financial Services
WIPRO,Technology
ADANIENT,Energy
ONGC,Energy
NTPC,Utilities
JSWSTEEL,Basic Materials
POWERGRID,Utilities
M&M,Consumer Cyclical
LTIM,Technology
TATAMOTORS,Consumer Cyclical
ADANIGREEN,Utilities
ADANIPORTS,Industrials
COALINDIA,Energy
TATASTEEL,Basic Materials
HINDZINC,Basic Materials
PIDILITIND,Basic Materials
SIEMENS,Industrials
ADANITRANS,
SBILIFE,Financial Services
IOC,Energy
BAJAJ-AUTO,Consumer Cyclical
GRASIM,Basic Materials
TECHM,Technology
HDFCLIFE,Financial Services
BRITANNIA,Consumer Defensive
VEDL,Basic Materials
GODREJCP,Consumer Defensive
DABUR,Consumer Defensive
ATGL,Utilities
SHREECEM,Basic Materials
HAL,Industrials
HINDALCO,Basic Materials
VBL,Consumer Defensive
DLF,Real Estate
BANKBARODA,Financial Services
INDUSINDBK,Financial Services
EICHERMOT,Consumer Cyclical
DRREDDY,Healthcare
DIVISLAB,Healthcare
BPCL,Energy
HAVELLS,Industrials
ADANIPOWER,Utilities
INDIGO,Industrials
CIPLA,Healthcare
AMBUJACEM,Basic Materials
SRF,Basic Materials
ABB,Industrials
BEL,Industrials
SBICARD,Financial Services
GAIL,Utilities
BAJAJHLDNG,Financial Services
TATACONSUM,Consumer Defensive
ICICIPRULI,Financial Services
CHOLAFIN,Financial Services
MARICO,Consumer Defensive
APOLLOHOSP,Healthcare
TATAPOWER,Utilities
BOSCHLTD,Consumer Cyclical
BERGEPAINT,Basic Materials
JINDALSTEL,Basic Materials
MCDOWELL-N,Consumer Defensive
UPL,Basic Materials
AWL,Consumer Defensive
ICICIGI,Financial Services
TORNTPHARM,Healthcare
CANBK,Financial Services
PNB,Financial Services
TVSMOTOR,Consumer Cyclical
ZYDUSLIFE,Healthcare
TIINDIA,Industrials
TRENT,Consumer Cyclical
IDBI,Financial Services
NAUKRI,Communication Services
SHRIRAMFIN,Financial Services
HEROMOTOCO,Consumer Cyclical
INDHOTEL,Consumer Cyclical
PIIND,Basic Materials
IRCTC,Industrials
CGPOWER,Industrials
UNIONBANK,Financial Services
MOTHERSON,Consumer Cyclical
CUMMINSIND,Industrials
SCHAEFFLER,Consumer Cyclical
LODHA,Real Estate
ZOMATO,Consumer Cyclical
PGHH,Consumer Defensive
YESBANK,Financial Services
POLYCAB,Industrials
MAXHEALTH,Healthcare
IOB,Financial Services
PAGEIND,Consumer Cyclical
COLPAL,Consumer Defensive
ASHOKLEY,Industrials
ALKEM,Healthcare
NHPC,Utilities
PAYTM,Technology
PFC,Financial Services
JSWENERGY,Utilities
MUTHOOTFIN,Financial Services
AUBANK,Financial Services
INDUSTOWER,Communication Services
BALKRISIND,Consumer Cyclical
UBL,Consumer Defensive
ABCAPITAL,Financial Services
TATAELXSI,Technology
DALBHARAT,Basic Materials
HDFCAMC,Financial Services
INDIANB,Financial Services
ASTRAL,Industrials
BHARATFORG,Consumer Cyclical
LTTS,Technology
MRF,Consumer Cyclical
TATACOMM,Communication Services
NYKAA,Consumer Cyclical
CONCOR,Industrials
PERSISTENT,Technology
PATANJALI,Consumer Defensive
IRFC,Financial Services
LINDEINDIA,Basic Materials
IDFCFIRSTB,Financial Services
PETRONET,Energy
SOLARINDS,Basic Materials
SAIL,Basic Materials
MPHASIS,Technology
HINDPETRO,Energy
APLAPOLLO,Basic Materials
FLUOROCHEM,Basic Materials
NMDC,Basic Materials
HONAUT,Industrials
SUPREMEIND,Industrials
GUJGASLTD,Utilities
BANDHANBNK,Financial Services
ACC,Basic Materials
OBEROIRLTY,Real Estate
BANKINDIA,Financial Services
RECLTD,Financial Services
AUROPHARMA,Healthcare
STARHEALTH,Financial Services
IGL,Utilities
LUPIN,Healthcare
UCOBANK,Financial Services
JUBLFOOD,Consumer Cyclical
POLICYBZR,Financial Services
GODREJPROP,Real Estate
M&MFIN,Financial Services
IDEA,Communication Services
OFSS,Technology
FEDERALBNK,Financial Services
MANYAVAR,Consumer Cyclical
UNOMINDA,Consumer Cyclical
AIAENG,Industrials
THERMAX,Industrials
OIL,Energy
VOLTAS,Industrials
3MINDIA,Industrials
COROMANDEL,Basic Materials
SUNDARMFIN,Financial Services
KPITTECH,Technology
DEEPAKNTR,Basic Materials
ESCORTS,Industrials
BIOCON,Healthcare
TATACHEM,Basic Materials
TORNTPOWER,Utilities
GMRINFRA,Industrials
BHEL,Industrials
SONACOMS,Consumer Cyclical
DELHIVERY,Industrials
SYNGENE,Healthcare
CRISIL,Financial Services
GICRE,Financial Services
COFORGE,Technology
PHOENIXLTD,Real Estate
JKCEMENT,Basic Materials
POONAWALLA,Financial Services
GLAXO,Healthcare
MFSL,Financial Services
METROBRAND,Consumer Cyclical
MSUMI,Consumer Cyclical
SUMICHEM,Basic Materials
RELAXO,Consumer Cyclical
NAVINFLUOR,Basic Materials
SKFINDIA,Industrials
CENTRALBK,Financial Services
GLAND,Healthcare
KANSAINER,Basic Materials
GRINDWELL,Industrials
TIMKEN,Industrials
IPCALAB,Healthcare
SUNDRMFAST,Consumer Cyclical
ATUL,Basic Materials
ZEEL,Communication Services
L&TFH,Financial Services
ABFRL,Consumer Cyclical
APOLLOTYRE,Consumer Cyclical
KPRMILL,Consumer Cyclical
ZFCVINDIA,Consumer Cyclical
FORTIS,Healthcare
AARTIIND,Basic Materials
HATSUN,Consumer Defensive
CARBORUNIV,Industrials
CROMPTON,Consumer Cyclical
VINATIORGA,Basic Materials
IIFL,Financial Services
BATAINDIA,Consumer Cyclical
BDL,Industrials
LICHSGFIN,Financial Services
RAJESHEXPO,Consumer Cyclical
RAMCOCEM,Basic Materials
ENDURANCE,Consumer Cyclical
DEVYANI,Consumer Cyclical
PSB,Financial Services
DIXON,Technology
KAJARIACER,Industrials
WHIRLPOOL,Consumer Cyclical
MAHABANK,Financial Services
SUNTV,Communication Services
PEL,Financial Services
PRESTIGE,Real Estate
NIACL,Financial Services
RADICO,Consumer Defensive
PFIZER,Healthcare
NH,Healthcare
EMAMILTD,Consumer Defensive
LAURUSLABS,Healthcare
FIVESTAR,Financial Services
AJANTPHARM,Healthcare
INDIAMART,Communication Services
360ONE,Financial Services
KEI,Industrials
JBCHEPHARM,Healthcare
LALPATHLAB,Healthcare
JSL,Basic Materials
IRB,Industrials
EXIDEIND,Consumer Cyclical
PVR,
GSPL,Utilities
BLUEDART,Industrials
NATIONALUM,Basic Materials
RVNL,Industrials
CREDITACC,Financial Services
TRIDENT,Consumer Cyclical
POWERINDIA,Technology
MEDANTA,Healthcare
GILLETTE,Consumer Defensive
RATNAMANI,Basic Materials
ELGIEQUIP,Industrials
ISEC,Financial Services
CGCL,Financial Services
GODREJIND,Industrials
CLEAN,Basic Materials
MAZDOCK,Industrials
MAHINDCIE,
AEGISCHEM,Energy
FACT,Basic Materials
BLUESTARCO,Industrials
SANOFI,Healthcare
FINEORG,Basic Materials
AFFLE,Communication Services
GLENMARK,Healthcare
NAM-INDIA,Financial Services
SJVN,Utilities
REDINGTON,Technology
AAVAS,Financial Services
IDFC,Financial Services
FINCABLES,Industrials
NUVOCO,Basic Materials
BAJAJELEC,Consumer Cyclical
APTUS,Financial Services
SUVENPHAR,Healthcare
ASTERDM,Healthcare
RHIM,Industrials
KEC,Industrials
SONATSOFTW,Technology
AETHER,Basic Materials
DCMSHRIRAM,Basic Materials
IEX,Financial Services
HAPPSTMNDS,Technology
KIMS,Healthcare
ALKYLAMINE,Basic Materials
CYIENT,Industrials
CHAMBLFERT,Basic Materials
ASAHIINDIA,Consumer Cyclical
CASTROLIND,Energy
BRIGADE,Real Estate
KALYANKJIL,Consumer Cyclical
TTML,Communication Services
VGUARD,Industrials
NLCINDIA,Utilities
LAXMIMACH,Industrials
TRITURBINE,Industrials
FINPIPE,Industrials
AKZOINDIA,Basic Materials
MANAPPURAM,Financial Services
EIHOTEL,Consumer Cyclical
CENTURYPLY,Basic Materials
NATCOPHARM,Healthcare
KIOCL,Basic Materials
CHOLAHLDNG,Financial Services
CAMPUS,Consumer Cyclical
CAMS,Technology
AMARAJABAT,Industrials
ZYDUSWELL,Consumer Defensive
BASF,Basic Materials
TEJASNET,Technology
APLLTD,Healthcare
MGL,Utilities
GRINFRA,Industrials
ANGELONE,Financial Services
SFL,Consumer Cyclical
TTKPRESTIG,Consumer Cyclical
APARINDS,Industrials
HINDCOPPER,Basic Materials
CDSL,Financial Services
GODFRYPHLP,Consumer Defensive
RENUKA,Consumer Defensive
CUB,Financial Services
JKLAKSHMI,Basic Materials
ANURAS,Basic Materials
MRPL,Energy
GESHIP,Industrials
POLYMED,Healthcare
NSLNISP,Basic Materials
BIKAJI,Consumer Defensive
MOTILALOFS,Financial Services
ABSLAMC,Financial Services
CESC,Utilities
TATAINVEST,Financial Services
ALLCARGO,Industrials
KALPATPOWR,
PNBHOUSING,Financial Services
HUDCO,Financial Services
ITI,Technology
ROUTE,Communication Services
RITES,Industrials
VTL,Consumer Cyclical
RBLBANK,Financial Services
HFCL,Technology
KARURVYSYA,Financial Services
CERA,Industrials
EIDPARRY,Basic Materials
INGERRAND,Industrials
GALAXYSURF,Basic Materials
PPLPHARMA,Healthcare
UTIAMC,Financial Services
KRBL,Consumer Defensive
RAYMOND,Consumer Cyclical
ASTRAZEN,Healthcare
VIPIND,Consumer Cyclical
ACI,Basic Materials
BALRAMCHIN,Consumer Defensive
SUZLON,Industrials
GODREJAGRO,Consumer Defensive
GNFC,Basic Materials
ERIS,Healthcare
PGHL,Healthcare
MEDPLUS,Healthcare
SAPPHIRE,Consumer Cyclical
DATAPATTNS,Industrials
SUNCLAYLTD,
JBMA,Consumer Cyclical
EASEMYTRIP,Consumer Cyclical
CCL,Consumer Defensive
EQUITASBNK,Financial Services
CHALET,Consumer Cyclical
RAINBOW,Healthcare
PNCINFRA,Industrials
FSL,Technology
KSB,Industrials
BSOFT,Technology
KNRCON,Industrials
SHOPERSTOP,Consumer Cyclical
SYMPHONY,Consumer Cyclical
CENTURYTEX,Basic Materials
CANFINHOME,Financial Services
GRANULES,Healthcare
TANLA,Technology
JYOTHYLAB,Consumer Defensive
SPLPETRO,Basic Materials
DEEPAKFERT,Basic Materials
